Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","44","Barley","2018","2018","USD","302.2","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","56","Maize","2018","2018","USD","300.3","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","867","Meat, cattle","2018","2018","USD","6735.7","Fc","Calculated data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","1058","Meat, chicken","2018","2018","USD","3773.1","Fc","Calculated data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","1035","Meat, pig","2018","2018","USD","4890.6","Fc","Calculated data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","977","Meat, sheep","2018","2018","USD","4500.6","Fc","Calculated data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","1080","Meat, turkey","2018","2018","USD","7440.8","Fc","Calculated data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","75","Oats","2018","2018","USD","342.9","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","71","Rye","2018","2018","USD","482.1","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","15","Wheat","2018","2018","USD","294","","Official data"
"PP","Producer Prices - Annual","4","Algeria","5532","Producer Price (USD/tonne)","44","Barley","2018","2018","USD","214.4","","Official data"
"PP","Producer Prices - Annual","4","Algeria","5532","Producer Price (USD/tonne)","867","Meat, cattle","2018","2018","USD","8276.9","","Official data"
"PP","Producer Prices - Annual","4","Algeria","5532","Producer Price (USD/tonne)","1058","Meat, chicken","2018","2018","USD","2453","","Official data"
"PP","Producer Prices - Annual","4","Algeria","5532","Producer Price (USD/tonne)","977","Meat, sheep","2018","2018","USD","9623.5","","Official data"
"PP","Producer Prices - Annual","4","Algeria","5532","Producer Price (USD/tonne)","75","Oats","2018","2018","USD","137.2","","Official data"
"PP","Producer Prices - Annual","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","2018","2018","USD","386","","Official data"
"PP","Producer Prices - Annual","9","Argentina","5532","Producer Price (USD/tonne)","1058","Meat, chicken","2018","2018","USD","1232.6","","Official data"
"PP","Producer Prices - Annual","9","Argentina","5532","Producer Price (USD/tonne)","1141","Meat, rabbit","2018","2018","USD","7581.4","","Official data"
"PP","Producer Prices - Annual","9","Argentina","5532","Producer Price (USD/tonne)","977","Meat, sheep","2018","2018","USD","4595.3","","Official data"
"PP","Producer Prices - Annual","1","Armenia","5532","Producer Price (USD/tonne)","44","Barley","2018","2018","USD","226.8","","Official data"
"PP","Producer Prices - Annual","1","Armenia","5532","Producer Price (USD/tonne)","56","Maize","2018","2018","USD","234.7","Fc","Calculated data"
"PP","Producer Prices - Annual","1","Armenia","5532","Producer Price (USD/tonne)","867","Meat, cattle","2018","2018","USD","5630.6","","Official data"
"PP","Producer Prices - Annual","1","Armenia","5532","Producer Price (USD/tonne)","1058","Meat, chicken","2018","2018","USD","3872.3","","Official data"
"PP","Producer Prices - Annual","1","Armenia","5532","Producer Price (USD/tonne)","1035","Meat, pig","2018","2018","USD","5640.7","","Official data"
"PP","Producer Prices - Annual","1","Armenia","5532","Producer Price (USD/tonne)","1141","Meat, rabbit","2018","2018","USD","6897.9","","Official data"
"PP","Producer Prices - Annual","1","Armenia","5532","Producer Price (USD/tonne)","977","Meat, sheep","2018","2018","USD","5736.4","","Official data"
"PP","Producer Prices - Annual","1","Armenia","5532","Producer Price (USD/tonne)","71","Rye","2018","2018","USD","414.1","","Official data"
"PP","Producer Prices - Annual","1","Armenia","5532","Producer Price (USD/tonne)","15","Wheat","2018","2018","USD","234.7","","Official data"
"PP","Producer Prices - Annual","10","Australia","5532","Producer Price (USD/tonne)","44","Barley","2018","2018","USD","183.8","","Official data"
"PP","Producer Prices - Annual","10","Australia","5532","Producer Price (USD/tonne)","56","Maize","2018","2018","USD","251.8","","Official data"
"PP","Producer Prices - Annual","10","Australia","5532","Producer Price (USD/tonne)","75","Oats","2018","2018","USD","165.9","","Official data"
"PP","Producer Prices - Annual","10","Australia","5532","Producer Price (USD/tonne)","27","Rice, paddy","2018","2018","USD","289.1","","Official data"
"PP","Producer Prices - Annual","10","Australia","5532","Producer Price (USD/tonne)","83","Sorghum","2018","2018","USD","232.4","","Official data"
"PP","Producer Prices - Annual","10","Australia","5532","Producer Price (USD/tonne)","97","Triticale","2018","2018","USD","175.6","","Official data"
"PP","Producer Prices - Annual","10","Australia","5532","Producer Price (USD/tonne)","15","Wheat","2018","2018","USD","203.2","","Official data"
"PP","Producer Prices - Annual","11","Austria","5532","Producer Price (USD/tonne)","44","Barley","2018","2018","USD","148.7","","Official data"
"PP","Producer Prices - Annual","11","Austria","5532","Producer Price (USD/tonne)","56","Maize","2018","2018","USD","167.6","","Official data"
"PP","Producer Prices - Annual","11","Austria","5532","Producer Price (USD/tonne)","867","Meat, cattle","2018","2018","USD","4579.9","","Official data"
"PP","Producer Prices - Annual","11","Austria","5532","Producer Price (USD/tonne)","1058","Meat, chicken","2018","2018","USD","3224.8","","Official data"
"PP","Producer Prices - Annual","11","Austria","5532","Producer Price (USD/tonne)","1069","Meat, duck","2018","2018","USD","10446.3","","Official data"
"PP","Producer Prices - Annual","11","Austria","5532","Producer Price (USD/tonne)","1073","Meat, goose and guinea fowl","2018","2018","USD","12535.6","","Official data"
"PP","Producer Prices - Annual","11","Austria","5532","Producer Price (USD/tonne)","1035","Meat, pig","2018","2018","USD","1770.6","","Official data"
"PP","Producer Prices - Annual","11","Austria","5532","Producer Price (USD/tonne)","977","Meat, sheep","2018","2018","USD","5578.5","","Official data"
"PP","Producer Prices - Annual","11","Austria","5532","Producer Price (USD/tonne)","1080","Meat, turkey","2018","2018","USD","2230.9","","Official data"
"PP","Producer Prices - Annual","11","Austria","5532","Producer Price (USD/tonne)","75","Oats","2018","2018","USD","142.8","","Official data"
"PP","Producer Prices - Annual","11","Austria","5532","Producer Price (USD/tonne)","71","Rye","2018","2018","USD","160.5","","Official data"
"PP","Producer Prices - Annual","11","Austria","5532","Producer Price (USD/tonne)","97","Triticale","2018","2018","USD","148.7","","Official data"
"PP","Producer Prices - Annual","11","Austria","5532","Producer Price (USD/tonne)","15","Wheat","2018","2018","USD","170","","Official data"
"PP","Producer Prices - Annual","52","Azerbaijan","5532","Producer Price (USD/tonne)","44","Barley","2018","2018","USD","129.4","","Official data"
"PP","Producer Prices - Annual","52","Azerbaijan","5532","Producer Price (USD/tonne)","56","Maize","2018","2018","USD","158.8","","Official data"
"PP","Producer Prices - Annual","52","Azerbaijan","5532","Producer Price (USD/tonne)","947","Meat, buffalo","2018","2018","USD","2705.9","","Official data"
"PP","Producer Prices - Annual","52","Azerbaijan","5532","Producer Price (USD/tonne)","867","Meat, cattle","2018","2018","USD","2705.9","","Official data"
"PP","Producer Prices - Annual","52","Azerbaijan","5532","Producer Price (USD/tonne)","1058","Meat, chicken","2018","2018","USD","2023.5","","Official data"
"PP","Producer Prices - Annual","52","Azerbaijan","5532","Producer Price (USD/tonne)","1017","Meat, goat","2018","2018","USD","2823.5","","Official data"
"PP","Producer Prices - Annual","52","Azerbaijan","5532","Producer Price (USD/tonne)","1035","Meat, pig","2018","2018","USD","2647","","Official data"
"PP","Producer Prices - Annual","52","Azerbaijan","5532","Producer Price (USD/tonne)","977","Meat, sheep","2018","2018","USD","2823.5","","Official data"
"PP","Producer Prices - Annual","52","Azerbaijan","5532","Producer Price (USD/tonne)","79","Millet","2018","2018","USD","117.6","","Official data"
"PP","Producer Prices - Annual","52","Azerbaijan","5532","Producer Price (USD/tonne)","75","Oats","2018","2018","USD","105.9","","Official data"
"PP","Producer Prices - Annual","52","Azerbaijan","5532","Producer Price (USD/tonne)","27","Rice, paddy","2018","2018","USD","1017.6","","Official data"
"PP","Producer Prices - Annual","52","Azerbaijan","5532","Producer Price (USD/tonne)","71","Rye","2018","2018","USD","176.5","","Official data"
"PP","Producer Prices - Annual","52","Azerbaijan","5532","Producer Price (USD/tonne)","15","Wheat","2018","2018","USD","152.9","","Official data"
"PP","Producer Prices - Annual","16","Bangladesh","5532","Producer Price (USD/tonne)","56","Maize","2018","2018","USD","202.1","","Official data"
"PP","Producer Prices - Annual","16","Bangladesh","5532","Producer Price (USD/tonne)","27","Rice, paddy","2018","2018","USD","314.6","","Official data"
"PP","Producer Prices - Annual","16","Bangladesh","5532","Producer Price (USD/tonne)","15","Wheat","2018","2018","USD","279.8","","Official data"
"PP","Producer Prices - Annual","57","Belarus","5532","Producer Price (USD/tonne)","44","Barley","2018","2018","USD","143.4","","Official data"
"PP","Producer Prices - Annual","57","Belarus","5532","Producer Price (USD/tonne)","89","Buckwheat","2018","2018","USD","265.6","","Official data"
"PP","Producer Prices - Annual","57","Belarus","5532","Producer Price (USD/tonne)","56","Maize","2018","2018","USD","334.9","","Official data"
"PP","Producer Prices - Annual","57","Belarus","5532","Producer Price (USD/tonne)","79","Millet","2018","2018","USD","152.1","","Official data"
"PP","Producer Prices - Annual","57","Belarus","5532","Producer Price (USD/tonne)","75","Oats","2018","2018","USD","99.3","","Official data"
"PP","Producer Prices - Annual","57","Belarus","5532","Producer Price (USD/tonne)","71","Rye","2018","2018","USD","102.3","","Official data"
"PP","Producer Prices - Annual","57","Belarus","5532","Producer Price (USD/tonne)","97","Triticale","2018","2018","USD","124.3","","Official data"
"PP","Producer Prices - Annual","57","Belarus","5532","Producer Price (USD/tonne)","15","Wheat","2018","2018","USD","158","","Official data"
"PP","Producer Prices - Annual","255","Belgium","5532","Producer Price (USD/tonne)","44","Barley","2018","2018","USD","209.6","","Official data"
"PP","Producer Prices - Annual","255","Belgium","5532","Producer Price (USD/tonne)","867","Meat, cattle","2018","2018","USD","5388.1","Fc","Calculated data"
"PP","Producer Prices - Annual","255","Belgium","5532","Producer Price (USD/tonne)","1058","Meat, chicken","2018","2018","USD","1430","Fc","Calculated data"
"PP","Producer Prices - Annual","255","Belgium","5532","Producer Price (USD/tonne)","1097","Meat, horse","2018","2018","USD","2559.8","Fc","Calculated data"
"PP","Producer Prices - Annual","255","Belgium","5532","Producer Price (USD/tonne)","1035","Meat, pig","2018","2018","USD","1399.2","Fc","Calculated data"
"PP","Producer Prices - Annual","255","Belgium","5532","Producer Price (USD/tonne)","977","Meat, sheep","2018","2018","USD","7539","Fc","Calculated data"
"PP","Producer Prices - Annual","255","Belgium","5532","Producer Price (USD/tonne)","75","Oats","2018","2018","USD","90.5","","Official data"
"PP","Producer Prices - Annual","255","Belgium","5532","Producer Price (USD/tonne)","71","Rye","2018","2018","USD","164.7","","Official data"
"PP","Producer Prices - Annual","255","Belgium","5532","Producer Price (USD/tonne)","97","Triticale","2018","2018","USD","103.9","","Official data"
"PP","Producer Prices - Annual","255","Belgium","5532","Producer Price (USD/tonne)","15","Wheat","2018","2018","USD","196.6","","Official data"
"PP","Producer Prices - Annual","53","Benin","5532","Producer Price (USD/tonne)","56","Maize","2018","2018","USD","244.9","","Official data"
"PP","Producer Prices - Annual","53","Benin","5532","Producer Price (USD/tonne)","79","Millet","2018","2018","USD","545.4","","Official data"
"PP","Producer Prices - Annual","53","Benin","5532","Producer Price (USD/tonne)","27","Rice, paddy","2018","2018","USD","691.2","","Official data"
