Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","44","Barley","2014","2014","USD","431.4","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","44","Barley","2015","2015","USD","341.4","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","44","Barley","2016","2016","USD","319.7","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","44","Barley","2017","2017","USD","303.6","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","44","Barley","2018","2018","USD","302.2","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","56","Maize","2014","2014","USD","353.9","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","56","Maize","2015","2015","USD","293.7","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","56","Maize","2016","2016","USD","290.2","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","56","Maize","2017","2017","USD","278.7","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","56","Maize","2018","2018","USD","300.3","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","867","Meat, cattle","2014","2014","USD","6451.5","Fc","Calculated data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","867","Meat, cattle","2015","2015","USD","5702.6","Fc","Calculated data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","867","Meat, cattle","2016","2016","USD","5771.4","Fc","Calculated data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","867","Meat, cattle","2017","2017","USD","6037","Fc","Calculated data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","867","Meat, cattle","2018","2018","USD","6735.7","Fc","Calculated data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","1058","Meat, chicken","2014","2014","USD","5728.4","Fc","Calculated data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","1058","Meat, chicken","2015","2015","USD","3660.9","Fc","Calculated data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","1058","Meat, chicken","2016","2016","USD","3216.3","Fc","Calculated data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","1058","Meat, chicken","2017","2017","USD","3292.9","Fc","Calculated data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","1058","Meat, chicken","2018","2018","USD","3773.1","Fc","Calculated data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","1017","Meat, goat","2014","2014","USD","4184.5","Fc","Calculated data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","1017","Meat, goat","2015","2015","USD","4674.8","Fc","Calculated data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","1017","Meat, goat","2016","2016","USD","3615.2","Fc","Calculated data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","1017","Meat, goat","2017","2017","USD","3779.3","Fc","Calculated data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","1035","Meat, pig","2014","2014","USD","5028.4","Fc","Calculated data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","1035","Meat, pig","2015","2015","USD","4025","Fc","Calculated data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","1035","Meat, pig","2016","2016","USD","4099.6","Fc","Calculated data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","1035","Meat, pig","2017","2017","USD","4355.4","Fc","Calculated data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","1035","Meat, pig","2018","2018","USD","4890.6","Fc","Calculated data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","977","Meat, sheep","2014","2014","USD","4834.8","Fc","Calculated data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","977","Meat, sheep","2015","2015","USD","4910.3","Fc","Calculated data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","977","Meat, sheep","2016","2016","USD","3861.9","Fc","Calculated data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","977","Meat, sheep","2017","2017","USD","3895.2","Fc","Calculated data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","977","Meat, sheep","2018","2018","USD","4500.6","Fc","Calculated data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","1080","Meat, turkey","2014","2014","USD","7887.8","Fc","Calculated data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","1080","Meat, turkey","2015","2015","USD","6382.9","Fc","Calculated data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","1080","Meat, turkey","2016","2016","USD","6882","Fc","Calculated data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","1080","Meat, turkey","2017","2017","USD","7229.6","Fc","Calculated data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","1080","Meat, turkey","2018","2018","USD","7440.8","Fc","Calculated data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","75","Oats","2014","2014","USD","373.7","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","75","Oats","2015","2015","USD","317.6","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","75","Oats","2016","2016","USD","329.1","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","75","Oats","2017","2017","USD","322.4","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","75","Oats","2018","2018","USD","342.9","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","71","Rye","2014","2014","USD","416.1","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","71","Rye","2015","2015","USD","381.1","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","71","Rye","2016","2016","USD","430.5","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","71","Rye","2017","2017","USD","500.4","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","71","Rye","2018","2018","USD","482.1","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","15","Wheat","2014","2014","USD","360.3","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","15","Wheat","2015","2015","USD","301.7","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","15","Wheat","2016","2016","USD","296.9","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","15","Wheat","2017","2017","USD","276.9","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","15","Wheat","2018","2018","USD","294","","Official data"
"PP","Producer Prices - Annual","11","Austria","5532","Producer Price (USD/tonne)","44","Barley","2014","2014","USD","147.3","","Official data"
"PP","Producer Prices - Annual","11","Austria","5532","Producer Price (USD/tonne)","44","Barley","2015","2015","USD","130.9","","Official data"
"PP","Producer Prices - Annual","11","Austria","5532","Producer Price (USD/tonne)","44","Barley","2016","2016","USD","112.8","","Official data"
"PP","Producer Prices - Annual","11","Austria","5532","Producer Price (USD/tonne)","44","Barley","2017","2017","USD","127.3","","Official data"
