Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","414","Beans, green","2014","2014","USD","753.7","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","414","Beans, green","2016","2016","USD","767.5","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","414","Beans, green","2017","2017","USD","848.8","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","414","Beans, green","2018","2018","USD","976.7","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","358","Cabbages and other brassicas","2014","2014","USD","214.9","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","358","Cabbages and other brassicas","2015","2015","USD","317.6","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","358","Cabbages and other brassicas","2016","2016","USD","202.1","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","358","Cabbages and other brassicas","2017","2017","USD","180.6","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","358","Cabbages and other brassicas","2018","2018","USD","206.7","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","426","Carrots and turnips","2014","2014","USD","446.4","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","426","Carrots and turnips","2015","2015","USD","396.9","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","426","Carrots and turnips","2016","2016","USD","377.5","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","426","Carrots and turnips","2017","2017","USD","370.3","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","426","Carrots and turnips","2018","2018","USD","391.4","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","393","Cauliflowers and broccoli","2014","2014","USD","937","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","393","Cauliflowers and broccoli","2015","2015","USD","714.5","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","393","Cauliflowers and broccoli","2016","2016","USD","760.9","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","393","Cauliflowers and broccoli","2017","2017","USD","891.3","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","393","Cauliflowers and broccoli","2018","2018","USD","784","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","401","Chillies and peppers, green","2014","2014","USD","303.4","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","401","Chillies and peppers, green","2015","2015","USD","277.9","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","401","Chillies and peppers, green","2016","2016","USD","317.5","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","397","Cucumbers and gherkins","2014","2014","USD","626.5","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","397","Cucumbers and gherkins","2015","2015","USD","531.9","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","397","Cucumbers and gherkins","2016","2016","USD","481.7","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","397","Cucumbers and gherkins","2017","2017","USD","553.7","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","397","Cucumbers and gherkins","2018","2018","USD","470.3","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","399","Eggplants (aubergines)","2014","2014","USD","617.3","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","399","Eggplants (aubergines)","2015","2015","USD","547.8","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","399","Eggplants (aubergines)","2016","2016","USD","487.9","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","399","Eggplants (aubergines)","2017","2017","USD","841.9","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","399","Eggplants (aubergines)","2018","2018","USD","750.3","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","406","Garlic","2014","2014","USD","1442.6","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","406","Garlic","2015","2015","USD","1468.7","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","406","Garlic","2016","2016","USD","1623.5","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","406","Garlic","2017","2017","USD","1903","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","406","Garlic","2018","2018","USD","1924.8","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","407","Leeks, other alliaceous vegetables","2014","2014","USD","249.9","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","407","Leeks, other alliaceous vegetables","2015","2015","USD","317.6","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","407","Leeks, other alliaceous vegetables","2016","2016","USD","244.5","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","407","Leeks, other alliaceous vegetables","2017","2017","USD","278.5","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","407","Leeks, other alliaceous vegetables","2018","2018","USD","282.3","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2014","2014","USD","582.3","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2015","2015","USD","555.7","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2016","2016","USD","500.6","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2017","2017","USD","616","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2018","2018","USD","659","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","568","Melons, other (inc.cantaloupes)","2014","2014","USD","450.3","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","568","Melons, other (inc.cantaloupes)","2015","2015","USD","379.5","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","568","Melons, other (inc.cantaloupes)","2016","2016","USD","361","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","568","Melons, other (inc.cantaloupes)","2017","2017","USD","432.5","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","568","Melons, other (inc.cantaloupes)","2018","2018","USD","383.8","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","403","Onions, dry","2014","2014","USD","384.8","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","403","Onions, dry","2015","2015","USD","317.6","","Official data"
